漢字,臺羅,頻次nc,,,
肚臍,too7-tsai5,20,,肚臍,
袂赴,be7-hu3,19,,來不及,
尾溜,bue2-liu1,19,,,
海湧,hai2-ing2,19,,海浪,
遐的,hia1-e5,19,,那些,
狗蟻,kau2-hia7,19,,螞蟻,
氣象,khi3-siong7,19,,氣象,
恭喜,kiong1-hi2,19,,恭喜,
毋驚,m7-kiann1,19,, 不怕,
芳味,phang1-bi7,19,,香味,
俗語,siok8-gi2,19,,俗語,
相爭,sio1-tsenn1,19,,相爭,
第六,te7-lak8,19,,,
田園,tshan5-hng5,19,,田園,
出海,tshut4-hai2,19,,出海,
阿玉,a1-giok8,18,,,
阿賢,a1-hian5,18,,,
阿姊,a1-tsi2,18,, 姊姊,
無情,bo5-tsing5,18,,無情,
葉仔,hioh8-a2,18,, 葉子,
好天,ho2-thinn1,18,, 好天氣,
緣投,ian5-tau5,18,,英俊,
落山,loh8-suann1,18,,下山,
名聲,mia5-siann1,18,,名聲,
陛下,pe3-ha7,18,,陛下,
聽眾,thiann1-tsiong3,18,,聽眾,
千歲,tshian1-sue3,18,,千歲,
創治,tshong3-ti7,18,,捉弄,
怨嘆,uan3-than3,18,,,
紅柿,ang5-khi7,17,,柿子,
沿路,ian5-loo7,17,,沿路,
認明,jin7-bing5,17,,認明,
江湖,kang1-oo5,17,,江湖,
行過,kiann5-kue3,17,,,
路邊,loo7-pinn1,17,,路邊,
麻糍,mua5-tsi5,17,,,
烏烏,oo1-oo1,17,,黑黑,
西河,se1-ho5,17,,,
東榮,tang1-ing5,17,,,
十五,tsap8-goo7,17,,十五,
清司,tshing1-si1,17,,,
庄頭,tsng1-thau5,17,,村子口,
做伴,tso3-phuann7,17,,做伴,
遵命,tsun1-bing7,17,,遵命,
拄仔,tu2-a2,17,,剛才,
鉛筆,ian5-pit4,16,,鉛筆,
庸兒,iong5-ji5,16,,,
有孝,iu2-hau3,16,,孝順,
開花,khui1-hue1,16,,開花,
光頭,kng1-thau5,16,,光頭,
君子,kun1-tsu2,16,,君子,
內山,lai7-suann1,16,,深山,
男兒,lam5-ji5,16,,,
娘娘,niu5-niu5,16,,娘娘,
西瓜,si1-kue1,16,,西瓜,
冬節,tang1-tseh4,16,,冬至,
第八,te7-peh4,16,,第八,
天光,thinn1-kng1,16,, 天亮,
長長,tng5-tng5,16,,,
振作,tsin2-tsok4,16,,振作,
冤家,uan1-ke1,16,,,
紅龜,ang5-ku1,15,,,
萬歲,ban7-sue3,15,,萬歲,
月光,gueh8-kng1,15,,月光,
形影,hing5-iann2,15,,形影,
香芳,hiunn1-phang1,15,,香的香味,
勇健,iong2-kiann7,15,,健康,
楊桃,iunn5-to5,15,,楊桃,
教主,kau3-tsu2,15,,教主,
驚惶,kiann1-hiann5,15,,驚慌,
光光,kng1-kng1,15,,,
媽祖,ma2-tsoo2,15,,媽祖,
心心,sim1-sim1,15,,,
相會,siong1-hue7,15,,相會,
收成,siu1-sing5,15,,收成,
受著,siu7-tioh8,15,,受到,
索仔,soh4-a2,15,,繩子,
桌頂,toh4-ting2,15,, 桌上,
賊仔,tshat8-a2,15,,小偷,
悽慘,tshi1-tsham2,15,,悽慘,
種作,tsing3-tsoh4,15,,耕作,
